62|KALIMANTAN TENGAH
62.06.02.2007|Talangkah
62.06.02.2008|Hampalit
62.06.03|Tewang Sangalang Garing
62.06.03.1006|Pendahara
62.06.03.2001|Tewang Baringin
62.06.03.2002|Hapalam
62.06.03.2003|Tewang Rangas
62.06.03.2004|Bangkuang
62.06.03.2005|Tarusan Danum
62.06.03.2007|Tumbang Tarusan
62.06.03.2008|Tewang Rangkang
62.06.03.2009|Tewang Manyangen
62.06.03.2010|Karya Unggang
62.06.04|Pulau Malan
62.06.04.2001|Tewang Papari
62.06.04.2002|Tewang Darayu
62.06.04.2003|Buntut Bali
62.06.04.2004|Kuluk Bali
62.06.04.2005|Manduing Taheta
62.06.04.2006|Manduing Lama
62.06.04.2007|Tumbang Banjang
62.06.04.2008|Tumbang Lawang
62.06.04.2009|Dahian Tunggal
62.06.04.2010|Tewang Karangan
62.06.04.2011|Tumbang Tungku
62.06.04.2012|Geragu
62.06.04.2013|Tumbang Tanjung
62.06.04.2014|Tura
62.06.05|Katingan Tengah
62.06.05.1009|Samba Kahayan
62.06.05.2001|Tumbang Lahang
62.06.05.2002|Tewang Panjang
62.06.05.2003|Petak Puti
62.06.05.2004|Telok
62.06.05.2005|Samba Danum
62.06.05.2006|Samba Bakumpai
62.06.05.2007|Samba Katung
62.06.05.2008|Napu Sahur
62.06.05.2010|Batu Badinding
62.06.05.2011|Rantau Asem
62.06.05.2012|Mirah Kalanaman
62.06.05.2013|Tumbang Kalemei
62.06.05.2014|Tumbang Marak
62.06.05.2015|Tumbang Hangei
62.06.05.2016|Tumbang Pariyei
62.06.06|Sanaman Mantikei
62.06.06.2001|Dehes
62.06.06.2002|Tumbang Labehu
62.06.06.2003|Tumbang Kaman
62.06.06.2004|Tumbang Manggo
62.06.06.2005|Kamanto
